設定項目番号,選択肢番号,カテゴリー,カスタマイズ項目（目的）,サイト別設定の可否,選択肢,設定方法,設定内容（Firefox 52）,Firefox 45→52での変更,設定内容（Firefox 45）,Firefox 38→45での変更,設定内容（Firefox 38）,設定内容（Firefox 31）,設定内容（Firefox 24）
Network-2,4,,,,WPADでネットワークのプロキシ設定を自動検出する,MCDで設定を反映する,"lockPref(""network.proxy.type"", 4);",,"lockPref(""network.proxy.type"", 4);",,"lockPref(""network.proxy.type"", 4);",変更無し,"lockPref(""network.proxy.type"", 4);"
Network-2,5,,,,システムの設定を利用する（既定）,MCDで設定を反映する,"lockPref(""network.proxy.type"", 5);",,"lockPref(""network.proxy.type"", 5);",,"lockPref(""network.proxy.type"", 5);",変更無し,"lockPref(""network.proxy.type"", 5);"
Network-3,1,ネットワーク接続,SSL3.0の利用の可否,-,許可する,MCDで設定を反映する,Firefox 39時点で廃止,,Firefox 39時点で廃止,○,"defaultPref(""security.tls.version.min"", 0);",,
Network-3,2,,,,禁止する（既定）,MCDで設定を反映する,Firefox 39時点で廃止,,Firefox 39時点で廃止,○,"defaultPref(""security.tls.version.min"", 1);",,
Network-4,1,認証,NTLM認証によるシングルサインオンの許可,-,許可する,MCDで設定を反映する,"lockPref(""network.automatic-ntlm-auth.trusted-uris"", ""ドメイン名のカンマ区切りのリスト"");
lockPref(""network.negotiate-auth.delegation-uris"", ""ドメイン名のカンマ区切りのリスト"");
lockPref(""network.negotiate-auth.trusted-uris"", ""ドメイン名のカンマ区切りのリスト"");",,"lockPref(""network.automatic-ntlm-auth.trusted-uris"", ""ドメイン名のカンマ区切りのリスト"");
lockPref(""network.negotiate-auth.delegation-uris"", ""ドメイン名のカンマ区切りのリスト"");
lockPref(""network.negotiate-auth.trusted-uris"", ""ドメイン名のカンマ区切りのリスト"");",○,"lockPref(""network.automatic-ntlm-auth.trusted-uris"", ""ドメイン名"");",,
Network-5,1,ネットワーク接続,HTTPの同時接続数,-,パフォーマンスを優先（既定）,MCDで設定を反映する,"// 最大同時接続数
defaultPref(“network.http.max-connections”, 256);
// Proxy未使用時・使用時それぞれの、Keep-Aliveでの最大同時維持接続数
defaultPref(“network.http.max-persistent-connections-per-server”, 6);
defaultPref(“network.http.max-persistent-connections-per-proxy”, 32);",,"// 最大同時接続数
defaultPref(“network.http.max-connections”, 256);
// Proxy未使用時・使用時それぞれの、Keep-Aliveでの最大同時維持接続数
defaultPref(“network.http.max-persistent-connections-per-server”, 6);
defaultPref(“network.http.max-persistent-connections-per-proxy”, 32);",,"// 最大同時接続数
defaultPref(“network.http.max-connections”, 256);
// Proxy未使用時・使用時それぞれの、Keep-Aliveでの最大同時維持接続数
defaultPref(“network.http.max-persistent-connections-per-server”, 6);
defaultPref(“network.http.max-persistent-connections-per-proxy”, 32);",,
Network-5,2,,,,トラフィックを抑える事を優先,MCDで設定を反映する,"// 最大同時接続数
lockPref(“network.http.max-connections”, 6);
// Proxy未使用時・使用時それぞれの、Keep-Aliveでの最大同時維持接続数
lockPref(“network.http.max-persistent-connections-per-server”, 2);
lockPref(“network.http.max-persistent-connections-per-proxy”, 2);",,"// 最大同時接続数
lockPref(“network.http.max-connections”, 6);
// Proxy未使用時・使用時それぞれの、Keep-Aliveでの最大同時維持接続数
lockPref(“network.http.max-persistent-connections-per-server”, 2);
lockPref(“network.http.max-persistent-connections-per-proxy”, 2);",,"// 最大同時接続数
lockPref(“network.http.max-connections”, 6);
// Proxy未使用時・使用時それぞれの、Keep-Aliveでの最大同時維持接続数
lockPref(“network.http.max-persistent-connections-per-server”, 2);
lockPref(“network.http.max-persistent-connections-per-proxy”, 2);",,
Network-6,1,ネットワーク接続,SPDYプロトコルの使用の可否,-,許可する（規定）,MCDで設定を反映する,"lockPref(""network.http.spdy.enabled"", true);",,"lockPref(""network.http.spdy.enabled"", true);",新規,,,
Network-6,2,,,,禁止する,MCDで設定を反映する,"lockPref(""network.http.spdy.enabled"", false);",,"lockPref(""network.http.spdy.enabled"", false);",新規,,,
Network-7,1,ネットワーク接続,TLS/SSLでの脆弱な暗号化アルゴリズム（RC4など）の使用の可否,-,禁止する（規定）,-,-,,-,新規,,,
Network-7,2,,,,特定のホストでのみ許可する,MCDで設定を反映する,"lockPref(""security.tls.insecure_fallback_hosts"", ""（ホスト名のカンマ区切りのリスト）"");",,"lockPref(""security.tls.insecure_fallback_hosts"", ""（ホスト名のカンマ区切りのリスト）"");",新規,,,
Network-8,1,ネットワーク接続,IPv6の使用,-,許可する（規定）,-,-,,-,新規,,,
Network-8,2,,,,禁止する,MCDで設定を反映する,"lockPref(""network.dns.disableIPv6"", true);
lockPref(""network.dns.disablePrefetch"", true);",,"lockPref(""network.dns.disableIPv6"", true);
lockPref(""network.dns.disablePrefetch"", true);",新規,,,
Network-9,1,ネットワーク接続,HTTP Pipeliningの使用,-,許可する,MCDで設定を反映する,"lockPref(""network.http.pipelining"", true); 
lockPref(""network.http.proxy.pipelining"", true)",,"lockPref(""network.http.pipelining"", true); 
lockPref(""network.http.proxy.pipelining"", true)",新規,,,
Network-9,2,,,,禁止する（既定）,-,-,,-,新規,,,
Network-10,1,ネットワーク接続,onionドメインの名前解決,-,許可する（規定）,-,-,,-,新規,,,
Network-10,2,,,,禁止する,MCDで設定を反映する,"lockPref(""network.dns.blockDotOnion"", true);",,"lockPref(""network.dns.blockDotOnion"", true);",新規,,,
Network-11,1,UA文字列の制御,UA文字列の変更,-,変更しない（既定）,-,-,,-,新規,,,
Network-11,2,,,,任意の値を設定する,MCDで設定を反映する,"lockPref(""general.useragent.override"", ""（任意の内容）"");",,"lockPref(""general.useragent.override"", ""（任意の内容）"");",新規,,,
Network-12,1,ネットワーク接続,リモートファイルに対するjarプロトコルの使用,-,許可する,MCDで設定を反映する,"lockPref(""network.jar.block-remote-files"", false);",,"lockPref(""network.jar.block-remote-files"", false);",新規,,,
Network-12,2,,,,禁止する（既定）,-,-,,-,新規,,,
Update-1,1,自動更新,Firefoxの自動更新の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""app.update.enabled"", true);
lockPref(""app.update.auto"", true);
lockPref(""app.update.mode"", 1);",,"lockPref(""app.update.enabled"", true);
lockPref(""app.update.auto"", true);
lockPref(""app.update.mode"", 1);",,"lockPref(""app.update.enabled"", true);
lockPref(""app.update.auto"", true);
lockPref(""app.update.mode"", 1);",変更無し,"lockPref(""app.update.enabled"", true);
lockPref(""app.update.auto"", true);
lockPref(""app.update.mode"", 1);"
Update-1,2,,,,セキュリティアップデートのみ許可する,アドオン「Only Minor Update」を導入する,-,,-,,-,,
Update-1,3,,,,禁止する,"1. アドオン「Disable Auto-update」を導入する
2. MCDで設定を反映する","lockPref(""app.update.enabled"", false);
lockPref(""app.update.auto"", false);
lockPref(""app.update.mode"", 0);
// Firefox自体自体の自動更新のURL
lockPref(""app.update.url"", """");
lockPref(""app.update.url.details"", """");
lockPref(""app.update.url.manual"", """");",,"lockPref(""app.update.enabled"", false);
lockPref(""app.update.auto"", false);
lockPref(""app.update.mode"", 0);
// Firefox自体自体の自動更新のURL
lockPref(""app.update.url"", """");
lockPref(""app.update.url.details"", """");
lockPref(""app.update.url.manual"", """");",,"lockPref(""app.update.enabled"", false);
lockPref(""app.update.auto"", false);
lockPref(""app.update.mode"", 0);
// Firefox自体自体の自動更新のURL
lockPref(""app.update.url"", """");
lockPref(""app.update.url.details"", """");
lockPref(""app.update.url.manual"", """");",変更無し,"lockPref(""app.update.enabled"", false);
lockPref(""app.update.auto"", false);
lockPref(""app.update.mode"", 0);"
Update-2,1,自動更新,アドオンの自動更新の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""extensions.update.enabled"", true);",,"lockPref(""extensions.update.enabled"", true);",,"lockPref(""extensions.update.enabled"", true);",変更無し,"lockPref(""extensions.update.enabled"", true);"
Update-2,2,,,,禁止する,MCDで設定を反映する,"lockPref(""extensions.update.enabled"", false);
lockPref(""extensions.update.background.url"", """");
lockPref(""extensions.update.url"", """");",,"lockPref(""extensions.update.enabled"", false);
lockPref(""extensions.update.background.url"", """");
lockPref(""extensions.update.url"", """");",,"lockPref(""extensions.update.enabled"", false);
lockPref(""extensions.update.background.url"", """");
lockPref(""extensions.update.url"", """");",変更無し,"lockPref(""extensions.update.enabled"", false);"
Update-3,1,自動更新,検索エンジンの自動更新の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""browser.search.update"", true);",,"lockPref(""browser.search.update"", true);",,"lockPref(""browser.search.update"", true);",変更無し,"lockPref(""browser.search.update"", true);"
Update-3,2,,,,禁止する,MCDで設定を反映する,"lockPref(""browser.search.update"", false);",,"lockPref(""browser.search.update"", false);",,"lockPref(""browser.search.update"", false);",変更無し,"lockPref(""browser.search.update"", false);"
Update-4,1,その他,「Mozilla Maintenance Service」のインストールの可否,-,許可する（既定）,Frefox-setup.iniで設定を反映する,-,,-,,-,,
Update-4,2,,,,禁止する,"1. Frefox-setup.iniで設定を反映する
2. MCDで設定を反映する","Firefox-setup.ini:
MaintenanceService=false

MCD:
lockPref(""app.update.service.enabled"", false);",,"Firefox-setup.ini:
MaintenanceService=false

MCD:
lockPref(""app.update.service.enabled"", false);",○,MaintenanceService=false,,
Update-5,1,自動更新,軽量テーマの自動更新の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""lightweightThemes.update.enabled"", true);",,"lockPref(""lightweightThemes.update.enabled"", true);",,"lockPref(""lightweightThemes.update.enabled"", true);",,
Update-5,2,,,,禁止する,MCDで設定を反映する,"lockPref(""lightweightThemes.update.enabled"", false);",,"lockPref(""lightweightThemes.update.enabled"", false);",,"lockPref(""lightweightThemes.update.enabled"", false);",,
Ui-1,1,プログラム,Firefox組み込みのPDFビューアの使用可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""pdfjs.disabled"", false);
lockPref(""plugin.disable_full_page_plugin_for_types"", ""（application/prdを含まない値）"");",,"lockPref(""pdfjs.disabled"", false);
lockPref(""plugin.disable_full_page_plugin_for_types"", ""（application/prdを含まない値）"");",○,"lockPref(""pdfjs.disabled"", false);",変更無し,"lockPref(""pdfjs.disabled"", false);"
Ui-1,2,,,,禁止する,MCDで設定を反映する,"lockPref(""pdfjs.disabled"", true);",,"lockPref(""pdfjs.disabled"", true);",,"lockPref(""pdfjs.disabled"", true);",変更無し,"lockPref(""pdfjs.disabled"", true);"
Ui-2,1,キーボード操作,F7キーによるキャレットブラウズモードの開始の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""accessibility.browsewithcaret_shortcut.enabled"", true);",,"lockPref(""accessibility.browsewithcaret_shortcut.enabled"", true);",,"lockPref(""accessibility.browsewithcaret_shortcut.enabled"", true);",,
Ui-2,2,,,,禁止する,MCDで設定を反映する,"lockPref(""accessibility.browsewithcaret_shortcut.enabled"", false);",,"lockPref(""accessibility.browsewithcaret_shortcut.enabled"", false);",,"lockPref(""accessibility.browsewithcaret_shortcut.enabled"", false);",,
Ui-3,1,UI,タブごとの音声インジケータの利用の許可,-,許可する（既定）,-,-,,-,新規,,,
Ui-3,2,,,,禁止する,"1. アドオン「globalChrome.css」を導入する
2. globalChrome.cssで設定を反映する","@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  .tab-icon-sound,
  .tab-icon-overlay {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"@-moz-document url-prefix(""chrome://browser/content/browser.xul"") {
  .tab-icon-sound,
  .tab-icon-overlay {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",新規,,,
Ui-4,1,UI,同一プロキシへの同時アクセスによる認証ダイアログの多重表示の抑止,-,抑止する,"1. アドオン「No Duplicated Authentication」を導入する
2. MCDで設定を反映する","lockPref(""extensions.no-duplicated-authentication@clear-code.com.proxy"", true);
lockPref(""extensions.no-duplicated-authentication@clear-code.com.password"", false);
lockPref(""extensions.no-duplicated-authentication@clear-code.com.withoutRealm"", false);
lockPref(""extensions.no-duplicated-authentication@clear-code.com.withRealm"", false);",,"lockPref(""extensions.no-duplicated-authentication@clear-code.com.proxy"", true);
lockPref(""extensions.no-duplicated-authentication@clear-code.com.password"", false);
lockPref(""extensions.no-duplicated-authentication@clear-code.com.withoutRealm"", false);
lockPref(""extensions.no-duplicated-authentication@clear-code.com.withRealm"", false);",新規,,,
Ui-4,2,,,,抑止しない,-,-,,-,新規,,,
Ui-5,1,UI,リーダービュー機能の使用,-,使用する（既定）,-,-,,-,新規,,,
Ui-5,2,,,,使用しない,MCDで設定を反映する,"lockPref(""reader.parse-on-load.enabled"", false)",,"lockPref(""reader.parse-on-load.enabled"", false)",新規,,,
Ui-6,1,UI,スペルチェック機能の使用,-,使用する（既定）,-,-,,-,新規,,,
Ui-6,2,,,,使用しない,MCDで設定を反映する,"lockPref(""layout.spellcheckDefault"", 0);",,"lockPref(""layout.spellcheckDefault"", 0);",新規,,,
Script-1,1,Webアプリの動作,スクリプトによる頻繁なalertの可否,-,許可する,MCDで設定を反映する,"lockPref(""dom.successive_dialog_time_limit"", 0);",,"lockPref(""dom.successive_dialog_time_limit"", 0);",,"lockPref(""dom.successive_dialog_time_limit"", 0);",,
Script-1,2,,,,禁止する（既定）,MCDで設定を反映する,"// 3秒以内にalertが繰り返されたら警告を表示する（既定値）
lockPref(""dom.successive_dialog_time_limit"", 3);",,"// 3秒以内にalertが繰り返されたら警告を表示する（既定値）
lockPref(""dom.successive_dialog_time_limit"", 3);",,"// 3秒以内にalertが繰り返されたら警告を表示する（既定値）
lockPref(""dom.successive_dialog_time_limit"", 3);",,
Script-2,1,Webアプリの動作,プッシュ通知の可否,○,確認の上で許可する（通常版・既定）,MCDで設定を反映する,"lockPref(""dom.push.enabled"", true);
lockPref(""dom.serviceWorkers.enabled"", true);",,"lockPref(""dom.push.enabled"", true);
lockPref(""dom.serviceWorkers.enabled"", true);",○,"lockPref(""dom.push.enabled"", true);",,
Script-2,2,,,,特定サイトのみ確認なしで許可する,"1. アドオン「Permission Auto Registerer」を導入する
2. MCDで設定を反映する","lockPref(""extensions.autopermission.sites.(site)"", ""push=1"");",,"lockPref(""extensions.autopermission.sites.(site)"", ""push=1"");",,"lockPref(""extensions.autopermission.sites.(site)"", ""push=1"");",,
Script-2,4,,,,特定サイトのみ初期状態で確認なしで許可する,"1. 「default.permissions」を作成する
2. MCDで設定を反映する","default.permissions:
host<\t>push<\t>1<\t>http://example.com
# または
origin<\t>push<\t>1<\t>http://example.com

MCD:
lockPref(""""permissions.manager.defaultsUrl"""", """"file://\C:/Program Files (x86)/Mozilla%20Firefox/defaults/default.permissions"""");""",,"default.permissions:
host<\t>push<\t>1<\t>http://example.com
# または
origin<\t>push<\t>1<\t>http://example.com

MCD:
lockPref(""""permissions.manager.defaultsUrl"""", """"file://\C:/Program Files (x86)/Mozilla%20Firefox/defaults/default.permissions"""");""",新規,,,
Script-2,3,,,,禁止する（ESR版・既定 ※MCDの設定のみ既定。globalChrome.cssの設定は別途必要。）,"1. MCDで設定を反映する
2. アドオン「globalChrome.css」を導入する
3. globalChrome.cssで設定を反映する","MCD:
lockPref(""dom.push.enabled"", false);
lockPref(""dom.serviceWorkers.enabled"", false);
lockPref(""dom.push.serverURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #notificationsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",,"MCD:
lockPref(""dom.push.enabled"", false);
lockPref(""dom.serviceWorkers.enabled"", false);
lockPref(""dom.push.serverURL"", """");

globalChrome.css:
@-moz-document
  url-prefix(""chrome://browser/content/preferences/in-content/preferences.xul""),
  url-prefix(""about:preferences"") {
  #notificationsGroup {
    visibility: collapse !important;
    -moz-user-focus: ignore !important;
  }
}",○,"lockPref(""dom.push.enabled"", false);",,
Script-3,1,Webアプリの動作,ゲームパッドAPIの利用の可否,-,許可する（既定）,MCDで設定を反映する,"lockPref(""dom.gamepad.enabled"",true);",,"lockPref(""dom.gamepad.enabled"",true);",,"lockPref(""dom.gamepad.enabled"",true);","lockPref(""dom.gamepad.enabled"",true);",-
Script-3,2,,,,禁止する,MCDで設定を反映する,"lockPref(""dom.gamepad.enabled"",false);",,"lockPref(""dom.gamepad.enabled"",false);",,"lockPref(""dom.gamepad.enabled"",false);","lockPref(""dom.gamepad.enabled"",false);",-
Script-4,1,Webアプリの動作,DOMイベントによるクリップボード操作のオーバーライド,-,許可する（既定）,-,"defaultPref(""dom.event.clipboardevents.enabled"", true);",,"defaultPref(""dom.event.clipboardevents.enabled"", true);",新規,,,
Script-4,2,,,,禁止する,MCDで設定を反映する,"lockPref(""dom.event.clipboardevents.enabled"", false);",,"lockPref(""dom.event.clipboardevents.enabled"", false);",新規,,,
Script-5,1,Webアプリの動作,DOMイベントによるコンテキストメニュー操作のオーバーライド,-,許可する（既定）,-,-,,-,新規,,,
Script-5,2,,,,禁止する,MCDで設定を反映する,"lockPref(""dom.event.contextmenu.enabled"", false);",,"lockPref(""dom.event.contextmenu.enabled"", false);",新規,,,
Plugin-1,1,セキュリティ,Javaプラグインの有効・無効の制御,-,常に無効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.java"", 0);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java\\(TM\\)"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.status"", false);
lockPref(""extensions.force-addon-status@clear-code.com.plugins.1.pattern"", ""^Java "");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.1.status"", false);"
Plugin-1,2,,,,常に有効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.java"", 2);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,
Plugin-1,3,,,,クリックされたら有効にする（既定）,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.java"", 1);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Java(\\(TM\\)| )"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,
Plugin-2,1,プラグイン,Adobe Flashプラグインの有効・無効の制御,-,常に無効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.flash"", 0);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave Flash"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave Flash"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,
Plugin-2,2,,,,常に有効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.flash"", 2);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave Flash"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave Flash"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,
Plugin-2,3,,,,クリックされたら有効にする（既定）,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.flash"", 1);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave Flash"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave Flash"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,
Plugin-3,1,プラグイン,Adobe Acrobatプラグインの有効・無効の制御,-,常に無効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.nppdf"", 0);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Adobe Acrobat"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Adobe Acrobat"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,
Plugin-3,2,,,,常に有効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.nppdf"", 2);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Adobe Acrobat"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Adobe Acrobat"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,
Plugin-3,3,,,,クリックされたら有効にする（既定）,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.nppdf"", 1);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Adobe Acrobat"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Adobe Acrobat"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,
Plugin-4,1,プラグイン,Shockwaveプラグインの有効・無効の制御,-,常に無効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.np32dsw"", 0);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave for Director"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave for Director"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,
Plugin-4,2,,,,常に有効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.np32dsw"", 2);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave for Director"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave for Director"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,
Plugin-4,3,,,,クリックされたら有効にする（既定）,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.np32dsw"", 1);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave for Director"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Shockwave for Director"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,
Plugin-5,1,プラグイン,Silverlightプラグインの有効・無効の制御,-,常に無効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.npctrl"", 0);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Silverlight Plug-In"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Silverlight Plug-In"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);",,
Plugin-5,2,,,,常に有効化する,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.npctrl"", 2);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Silverlight Plug-In"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Silverlight Plug-In"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);",,
Plugin-5,3,,,,クリックされたら有効にする（既定）,"MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.npctrl"", 1);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Silverlight Plug-In"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""^Silverlight Plug-In"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 1);",,
Plugin-6,1,プラグイン,Windows Media Playerプラグインの有効・無効の制御,-,常に無効化する（既定）,"1. np-mswmp.dllを導入する
2. MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.np-mswmp"", 0);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""Windows Media Player"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);
lockPref(""plugins.load_appdir_plugins"", true);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""Windows Media Player"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 0);
lockPref(""plugins.load_appdir_plugins"", true);",,
Plugin-6,2,,,,常に有効化する,"1. np-mswmp.dllを導入する
2. MCDで設定を反映する
（Firefox 45以前向けの設定ガイドに従う場合、アドオン「Force Addon Status」も導入する）","lockPref(""plugin.state.np-mswmp"", 2);",○,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""Windows Media Player"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);
lockPref(""plugins.load_appdir_plugins"", true);",,"lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.pattern"", ""Windows Media Player"");
lockPref(""extensions.force-addon-status@clear-code.com.plugins.0.enabledState"", 2);
lockPref(""plugins.load_appdir_plugins"", true);",,
